Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,9476379,947637,983.3,0,34,9152,484,273.18,432.51
20,9193516,919351,953.9,0,35,7210,499,279.54,444.34
30,9034297,903429,937.4,0,34,8805,508,307.67,452.60
40,9517563,951756,987.5,300473,46,5479,482,222.07,443.37
50,9810706,981070,1018.0,2185744,47,4766,468,210.66,431.59
60,9891998,989199,1026.4,3668846,37,4706,464,207.39,428.16
70,9780810,978081,1014.9,4615886,34,4315,469,211.16,432.16
80,9795204,979520,1016.3,5330049,37,5156,469,213.31,430.45
90,9960849,996084,1033.5,5969938,34,4266,461,205.52,424.59
100,9614118,961411,997.6,6178778,38,4930,477,226.35,436.09
110,9687564,968756,1005.2,6552149,31,4926,474,225.87,432.41
120,9997593,999759,1037.3,7052654,37,4924,459,208.77,422.18
130,9977023,997702,1035.2,7282539,39,5710,460,211.26,422.57
140,10039366,1003936,1041.7,7535327,38,4980,457,204.75,420.88
150,10105297,1010529,1048.5,7764653,35,5057,454,199.28,418.78
160,10012510,1001251,1038.9,7846942,27,3956,458,204.51,422.23
170,10138230,1013823,1051.9,8082794,35,4345,453,195.93,418.06
180,10176744,1017674,1055.9,8234953,37,4675,451,192.69,417.14
190,10226183,1022618,1061.1,8386396,40,4214,449,191.68,414.83
200,10212127,1021212,1059.6,8471734,36,4334,449,192.31,415.92
210,10210436,1021043,1059.4,8562225,30,3525,449,192.82,415.65
220,10188266,1018826,1057.1,8620298,29,4539,450,192.55,416.93
230,10268716,1026871,1065.5,8759450,33,3857,447,187.93,414.20
240,10490758,1049075,1088.5,9022079,42,3379,438,174.15,407.71
250,10452615,1045261,1084.6,9049639,36,5097,439,178.11,408.56
260,10517630,1051763,1091.3,9163398,32,4090,436,175.13,406.67
270,10544174,1054417,1094.1,9243391,37,4765,435,174.23,405.96
280,10576641,1057664,1097.4,9319920,33,4234,434,171.82,404.83
290,10532469,1053246,1092.8,9328642,36,5362,436,175.50,405.78
300,10169590,1016959,1055.2,9046208,37,5743,451,198.71,416.19
310,10319871,1031987,1070.8,9218883,27,4541,445,186.63,411.93
320,10451084,1045108,1084.4,9373109,35,4471,439,181.61,407.78
330,10444790,1044479,1083.7,9401030,43,4007,439,181.67,408.29
340,10478546,1047854,1087.3,9464123,30,3993,438,180.62,406.89
350,10581794,1058179,1098.0,9589614,37,4539,434,174.66,404.00
360,10645256,1064525,1104.5,9676083,36,3587,431,170.23,402.54
370,10638860,1063886,1103.9,9698471,33,4635,431,173.42,402.26
380,10621991,1062199,1102.1,9708614,39,4010,432,169.87,403.61
390,10627435,1062743,1102.7,9738795,31,5327,432,172.57,402.96
400,10479888,1047988,1087.4,9625372,38,5218,438,180.11,406.99
410,10467922,1046792,1086.1,9637898,32,5110,438,179.91,407.77
420,10477319,1047731,1087.1,9667108,38,4375,438,180.67,406.88
430,10472305,1047230,1086.6,9682048,38,4345,438,179.89,407.13
440,10430867,1043086,1082.3,9660668,41,4572,440,177.20,409.73
450,10481946,1048194,1087.6,9726644,35,3886,438,175.32,407.69
460,10522354,1052235,1091.8,9783841,30,4815,436,174.76,406.66
470,10672538,1067253,1107.4,9938652,36,4270,430,168.93,401.74
480,10632611,1063261,1103.2,9916414,32,4584,432,171.67,402.63
490,10403189,1040318,1079.4,9718362,32,4430,441,183.32,409.81
500,10447240,1044724,1084.0,9772680,33,5240,439,180.22,408.51
510,10624543,1062454,1102.4,9951956,38,3871,432,171.28,402.83
520,10646309,1064630,1104.7,9986947,35,3520,431,171.72,401.87
530,10617473,1061747,1101.7,9971459,34,4687,432,174.58,402.53
540,10478729,1047872,1087.3,9856156,36,5006,438,184.10,406.26
550,10429069,1042906,1082.1,9821454,38,4269,440,179.54,409.26
560,9955313,995531,1033.0,9383616,35,5311,461,211.19,422.89
570,10478018,1047801,1087.2,9886555,30,3418,438,173.82,408.21
580,10492244,1049224,1088.7,9912100,39,4203,437,175.98,407.44
590,10477656,1047765,1087.2,9906883,37,3551,438,175.81,407.75
600,10392268,1039226,1078.3,9837140,37,3990,442,178.84,410.67
